date	id	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio	passed	finished
[28/Apr/2020:15:17:43]	aaugrrlp4etdk8hv21cqnu3k1d	35-44	Male	5	2	3	3	3	2	3	3	3	1	FALSE	TRUE
[28/Apr/2020:15:17:33]	sc9kika52fm0vdh2b9rssce9hr	35-44	Female	5	0	1	5	2	1	1	5	4	1	TRUE	TRUE
[28/Apr/2020:15:18:46]	cti1hp22sqrbbbg47cas9neg7n	25-34	Female	1	0	5	4	5	5	4	5	4	5	FALSE	TRUE
[28/Apr/2020:15:21:45]	ots68eolkda27rtjbg48hssjnk	35-44	Female	5	0	3	3	1	1	1	4	4	1	TRUE	TRUE
[28/Apr/2020:15:18:44]	7fc68ul15g6bckn5m435mg2bl8	25-34	Male	5	0	3	5	1	1	1	5	4	1	TRUE	TRUE
[28/Apr/2020:15:22:01]	no31fukafjk6lnr71f66cn6lbq	>55	Female	1	7	1	3	1	1	1	5	1	1	FALSE	TRUE
[28/Apr/2020:15:22:16]	aos62kdd4upq63fngh1p4e5sgi	>55	Male	5	0	5	5	2	1	4	4	1	1	TRUE	TRUE
[28/Apr/2020:15:25:14]	vl2gq4v2oqp7pod0nil8q5tstk	18-24	Male	4	0	4	3	1	1	2	5	3	1	TRUE	TRUE
[28/Apr/2020:15:22:08]	k267a62ch4rimqf2f5sjgb0664	35-44	Male	2	5	3	5	1	1	1	3	1	1	FALSE	TRUE
[28/Apr/2020:15:22:17]	j3ca66ms2bd3dk55q20i94dlpk	25-34	Male	1	5	3	4	4	4	3	3	4	4	FALSE	TRUE
[28/Apr/2020:15:24:03]	g8s3agm44kf5uhid3e5shoivm1	35-44	Female	4	2	5	5	5	1	1	4	4	1	TRUE	TRUE
[28/Apr/2020:15:25:17]	30rv4q2uaagm2j55k551bv94kc	25-34	Male	2	1	1	3	1	1	1	5	3	1	TRUE	TRUE
[28/Apr/2020:15:35:56]	5kdhknjq64or2cpf9nsim34erc	>55	Male	3	2	1	2	2	1	1	5	4	1	TRUE	TRUE
[28/Apr/2020:15:28:31]	cs8hdu1qc7kgp4r1e4sjnk9skr	>55	Male	5	0	3	4	4	1	3	5	5	2	TRUE	TRUE
[28/Apr/2020:15:28:35]	r7ivjbp39573ud6eulep34k8as	45-54	Female	4	1	4	5	5	3	2	3	2	1	FALSE	TRUE
[28/Apr/2020:15:46:46]	mf31lsavb0hcvr2v3kf5djqrt7	>55	Male	1	7	2	4	4	4	2	5	3	1	TRUE	TRUE
[28/Apr/2020:15:33:32]	95925bhgtlpom3cddol9udgdi1	25-34	Female	4	1	3	4	4	4	1	5	3	1	TRUE	TRUE
[28/Apr/2020:15:28:15]	ktku0vbvh0nilhpesufo8gsdcs	25-34	Male	2	2	2	4	3	2	3	4	2	3	FALSE	TRUE
[28/Apr/2020:15:28:58]	m21jop5f5ru6jqtn2n0dveq9ej	>55	Female	2	1	4	4	5	4	4	5	4	3	FALSE	TRUE
[28/Apr/2020:15:28:17]	i0adqch17h004q7059vpbivuq3	45-54	Male	5	0	2	4	2	1	1	5	5	1	FALSE	TRUE
[28/Apr/2020:15:26:59]	f6mlsshadsaa6gbg4fihfc5so4	45-54	Female	3	4	4	3	3	4	3	3	3	4	FALSE	TRUE
[28/Apr/2020:15:28:30]	19rnils31d0g2i97e52c7fj7qg	35-44	Male	5	0	2	4	2	1	2	3	4	1	FALSE	TRUE
[28/Apr/2020:15:29:48]	pcn2homhokfb2tn91gn1gn4mfo	45-54	Female	1	5	4	3	5	4	3	3	4	5	FALSE	TRUE
[28/Apr/2020:16:03:44]	i8ss3cl6jebc4akosjr6mkdt4g	25-34	Male	2	3	3	4	3	3	4	5	4	4	FALSE	TRUE
[28/Apr/2020:15:32:19]	m5r51j84p1t41tk2hf1c2bshme	45-54	Female	5	1	3	2	3	2	2	2	2	2	FALSE	TRUE
[28/Apr/2020:15:31:57]	m3aojsf51ntarqmf7se6mnae5o	25-34	Male	3	1	1	5	1	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:15:47:36]	tr0q4018abr0kf7quh4hp56lsc	35-44	Male	2	3	2	5	1	1	1	3	3	1	FALSE	TRUE
[28/Apr/2020:15:39:42]	ci3cj33581iv1bskca4tu8el5f	>55	Male	1	7	4	4	2	2	4	4	4	1	TRUE	TRUE
[28/Apr/2020:15:41:51]	eti5vh0qn3o5aen0aorf1f941c	25-34	Male	2	4	3	5	1	1	1	3	1	1	FALSE	TRUE
[28/Apr/2020:15:36:52]	vqngpqonus4iuthetiuvqq524v	25-34	Male	3	1	5	5	5	5	5	1	5	1	TRUE	TRUE
[28/Apr/2020:15:36:57]	sj9hro88c5nniiel398poiahdt	35-44	Male	2	1	4	5	2	1	3	5	3	1	TRUE	TRUE
[28/Apr/2020:16:27:47]	3470cem86jtqsf4dl463ep1h3p	35-44	Male	5	1	3	4	2	2	3	5	3	1	TRUE	TRUE
